Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ADDT B","ADDTECH CLASS B","Industrials","Equity","2’390’588.10","0.39","2’390’588.10","75’988.00","31.46","Sweden","Nasdaq Omx Nordic","SEK"
"FGR","EIFFAGE SA","Industrials","Equity","2’388’204.00","0.39","2’388’204.00","19’656.00","121.50","France","Nyse Euronext - Euronext Paris","EUR"
"EVO","EVOLUTION","Consumer Discretionary","Equity","2’371’216.48","0.39","2’371’216.48","35’171.00","67.42","Sweden","Nasdaq Omx Nordic","SEK"
"SKF B","SKF B","Industrials","Equity","2’367’641.89","0.39","2’367’641.89","99’748.00","23.74","Sweden","Nasdaq Omx Nordic","SEK"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Financials","Equity","2’343’334.30","0.38","2’343’334.30","38’134.00","61.45","Austria","Wiener Boerse Ag","EUR"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","2’322’427.50","0.38","2’322’427.50","33’225.00","69.90","France","Nyse Euronext - Euronext Paris","EUR"
"INDU C","INDUSTRIVARDEN SERIES","Financials","Equity","2’318’008.86","0.38","2’318’008.86","46’920.00","49.40","Sweden","Nasdaq Omx Nordic","SEK"
"TEL2 B","TELE2 B","Communication","Equity","2’317’210.44","0.38","2’317’210.44","157’138.00","14.75","Sweden","Nasdaq Omx Nordic","SEK"
"SKA B","SKANSKA B","Industrials","Equity","2’308’130.36","0.38","2’308’130.36","95’088.00","24.27","Sweden","Nasdaq Omx Nordic","SEK"
"MOWI","MOWI","Consumer Staples","Equity","2’300’962.25","0.38","2’300’962.25","124’700.00","18.45","Norway","Oslo Bors Asa","NOK"
"WISE","WISE PLC CLASS A","Financials","Equity","2’293’061.03","0.38","2’293’061.03","206’899.00","11.08","United Kingdom","London Stock Exchange","GBP"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","2’285’710.89","0.37","2’285’710.89","54’669.00","41.81","Germany","Xetra","EUR"
"PNDORA","PANDORA","Consumer Discretionary","Equity","2’282’003.09","0.37","2’282’003.09","21’911.00","104.15","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
